6.22E+12,amrizole 500,15,8,1/5/2024,5,,,,,
6.22E+12, azithromycin 500,97.5,32.5,23/10/2025,6,,,,,
6.22E+12,aller 5 ,33,16.5,23/6/2026,4,,,,,
6.22E+12,amaryl M,73.5,24.5,25-Jul,3,,,,,
6.22E+12,amilo 5 gm,37.5,12.5,27-Oct,1,,,,,
6.22E+12,ator 10,33,33,25-Feb,1,,,,,
6.22E+12,ator20,59,59,25-Feb,2,,,,,
6.22E+12,ator 40,80,80,26-Jul,1,,,,,
6.22E+12, andopoxetine  60 gm,39,39,26-Jun,1,,,,,
6.22E+12,alphavim 300,145,72.5,25-Jun,1,,,,,
6.22E+12,atrostat 10,40,20,26-Aug,1,,,,,
6.22E+12,antidiazox,43,21.5,25-Apr,1,,,,,
6.22E+12,aripiprazole 20,104,104,25-Apr,1,,,,,
6.22E+12, andiuristat 120 gm,62,31,25-Jan,1,,,,,
6.22E+12,amaglust ,73.5,37,26-Aug,2,,,,,
6.22E+12,anticox 7.5,39,20,26-Jul,4,,,,,
6.22E+12,adwiflam 50,19.5,10,26-Apr,1,,,,,
6.22E+12,arcalion forte,53,27,25-Oct,2,,,,,
6.22E+12,apifortil ,60,20,25-Nov,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  ,???? ???? ?????  ??????,,,,
6.22E+12,atorstat 40,55,27.5,26-Sep,1,,,,,
6.22E+12,atorstat20,46,23,26-Sep,1,,,,,
6.22E+12,atorstat 80,40,40,25-Dec,2,,,,,
6.22E+12,amipride 50,81,27,29-Sep,1,,,,,
6.22E+12,amipride200 ,165,55.5,26-Oct,3,???? ???? ?????  ????,,,,
6.22E+12,anticox 15,54,18,25-Oct,4,,,,,
6.22E+12,arthfree 20,195,65,26-Aug,1,,,,,
6.22E+12,artixiban 2.5,240,80,25-Mar,1,,,,,
6.22E+12,artixiban 5,249,83,25-Jul,1,,,,,
6.22E+12,amlodipine 5,33,11,26-Oct,1,,,,,
6.22E+12,alzmenda 5,30,15,26-Sep,1,,,,,
6.22E+12,alzmenda 20,53.5,18,25-Sep,1,,,,,
6.22E+12,alzmenda 10,54,18,26-Aug,1,,,,,
, arcoxia 60,155.5,155.5,25-Sep,1,,,,,
,arcoxia 90,164.5,82.5,25-Sep,1,,,,,
,arcoxia 120,94.5,94.5,25-Jun,1,,,,,
6.22E+12,aripriprex 30,240,80,25-Mar,1,,,,,
6.22E+12,a viton,19,19,26-Jun,1,,,,,
6.22E+12,amigrawest 2.5,29,29,25-Apr,1,,,,,
6.22E+12,allerban,24,12,26-Jun,1,,,,,
6.22E+12,allergex 20,9,4.5,27-Aug,1,,,,,
6.22E+12,aspirin100,36,12,25-Mar,4,???? ????? ???? ??????                          ,,,,
6.22E+12,augram 1 gm,77,38.5,25-Sep,3,,,,,
6.22E+12,aggrex,33,5.5,26-Feb,1,,,,,
